"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  003074","一氧化二氮","Nitrous oxide","2030/07/01","元翎精密工業股份有限公司","2020/07/01","05-6361867","氣體","品質改良用、釀造用及食品製造用劑;;",,,"Nitrous oxide;;",,"7.80000公克;78.00000公克;187.20000公克;390.00000公克;8.40000公克;84.00000公克;201.60000公克;420.00000公克;8.50000公克;85.00000公克;204.00000公克;425.00000公克"
"衛部添製字  003076","香保利 GU-1 粉劑","NatureSeal® GU-1","2030/07/28","振芳股份有限公司","2020/07/28","02-23415137","粉劑","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"L-Ascorbic Acid (Vitamin C);;Potassium Carbonate;;Calcium Chloride (Calcium Chloride, Anhydrous);;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.50000公斤;20.50000公斤;24.95000公斤;24.95000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003077","一氧化二氮","Nitrous oxide","2030/07/04","聯華氣體工業股份有限公司中港分公司","2020/07/04","04-26584511","氣體","品質改良用、釀造用及食品製造用劑;;",,,"Nitrous oxide;;",,"18000.00000公斤;20000.00000公斤"
"衛部添製字  003078","抗壞血酸鈉(維生素C)","Sodium Ascorbate (Vitamin C)","2030/08/12","和司特股份有限公司","2020/08/12","04-23585228","結晶性粉末","營養添加劑;;",,,"Sodium Ascorbate (Vitamin C);;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003079","聚糊精","Polydextrose (STA-LITE® 90 NG R)","2030/08/15","恒宜貿易股份有限公司","2020/08/15","04-22968609","粉劑","品質改良用、釀造用及食品製造用劑;;粘稠劑（糊料）;;",,,"Polydextrose;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003080","氧化鈣","Calcium Oxide","2030/08/25","州海企業有限公司","2020/08/25","06-2645365","粉劑","營養添加劑;;品質改良用、釀造用及食品製造用劑;;",,,"Calcium Oxide;;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003081","甘胺酸鋅","Zinc Bisglycinate (Zinc Bisglycinate 30%)","2030/09/11","和司特股份有限公司","2020/09/11","04-23585228","粉劑","營養添加劑;;",,,"Zinc Bisglycinate;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003082","二氧化矽","Silicon Dioxide","2030/08/27","新和食品股份有限公司","2020/08/27","02-25954321","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Silicon Dioxide (precipitated silica);;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003083","麩醯胺酸","L-Glutamine","2030/08/27","和司特股份有限公司","2020/08/27","04-23585228","結晶性粉末","營養添加劑;;",,,"L-Glutamine;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003084","混合濃縮生育醇","Tocopherols Concentrate,Mixed (Mixed Tocopherols 95)","2030/09/10","盛美股份有限公司","2020/09/10","06-2551356","油狀物","抗氧化劑;;",,,"Tocopherols Concentrate, Mixed (low-α type);;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003085","維生素B2(核黃素)","Vitamin B2 (Riboflavin)","2030/09/11","和司特股份有限公司","2020/09/11","04-23585228","結晶性粉末","營養添加劑;;著色劑;;",,,"Vitamin B2 (Riboflavin);;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003086","麥芽糖醇","Maltitol","2030/09/11","恒宜貿易股份有限公司","2020/09/11","04-22968609","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"Maltitol;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003087","赤藻糖醇","Erythritol","2030/10/12","恒宜貿易股份有限公司","2020/10/12","04-22968609","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"Erythritol;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003088","麒麟烘焙乳化起泡劑複方食品添加物","CHYI LIN ESTER SP","2030/11/12","聯麒企業有限公司","2020/11/12","033-255323","糊狀","乳化劑;;",,,"Water;;D-Sorbitol Solution 70%;;Glycerin Fatty Acid Ester;;Propylene Glycol;;Sorbitan Fatty Acid Ester;;Sucrose Fatty Acid Ester;;",,"1.00000公斤;3.00000公斤;18.00000公斤;12.00000公斤;18.00000公斤"
"衛部添製字  003089","D-山梨醇","D-Sorbitol (Sorbitol LTS Powder 50 Mesh)","2030/10/15","恒宜貿易股份有限公司","2020/10/15","04-22968609","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"D-Sorbitol;;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003091","羧甲基纖維素鈉","Sodium Carboxymethyl Cellulose","2030/10/15","振芳股份有限公司","2020/10/15","02-23415137","粉劑","粘稠劑（糊料）;;",,,"Sodium Carboxymethyl Cellulose;;",,"1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003092","葡萄糖酸鋅","Zinc Gluconate","2030/10/20","寶祥貿易股份有限公司","2020/10/20","03-3562569","結晶性粉末","營養添加劑;;",,,"Zinc Gluconate;;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003093","甜菊糖苷","Steviol Glycosides (STEVIA RA60/TSG95)","2030/10/20","恒宜貿易股份有限公司","2020/10/20","04-22968609","粉劑","甜味劑;;",,,"Steviol Glycosides;;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003094","玉米糖膠","Xanthan Gum (Xanthan Gum - Ziboxan F6070)","2030/10/31","恒宜貿易股份有限公司","2020/10/31","04-22968609","粉劑","粘稠劑（糊料）;;",,,"Xanthan Gum;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003096","玉米糖膠","Xanthan Gum (Xanthan Gum- Ziboxan F200)","2030/11/12","恒宜貿易股份有限公司","2020/11/12","04-22968609","粉劑","粘稠劑（糊料）;;",,,"Xanthan Gum;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003099","甘草酸一銨","Monoammonium Glycyrrhizinate","2030/11/27","恒宜貿易股份有限公司","2020/11/27","04-22968609","結晶性粉末","甜味劑;;",,,"Monoammonium Glycyrrhizinate;;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003101","甘草萃","Licorice Extracts","2030/12/01","恒宜貿易股份有限公司","2020/12/01","04-22968609","粉劑","甜味劑;;",,,"Licorice Extracts;;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003110","琥珀酸二鈉","Disodium Succinate","2031/01/11","振源食品科技股份有限公司","2021/01/11","02-23690989","結晶性粉末","調味劑;;",,,"Disodium Succinate;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003111","L-肉鹼（L-肉酸）","L-Carnitine (Levocarnitine)","2031/02/03","和司特股份有限公司","2021/02/03","04-23585228","結晶性粉末","營養添加劑;;",,,"L-Carnitine;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003113","檸檬酸鈉","Sodium Citrate","2026/02/19","恒宜貿易股份有限公司","2021/02/19","04-22968609","結晶性粉末","調味劑;;",,,"Sodium Citrate (Sodium Citrate, Dihydrate);;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003114","檸檬酸","Citric Acid","2026/02/19","恒宜貿易股份有限公司","2021/02/19","04-22968609","結晶","調味劑;;",,,"Citric Acid (Citric Acid, Monohydrate);;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003115","檸檬酸","Citric Acid (Citric Acid, Anhydrous)","2026/02/26","恒宜貿易股份有限公司","2021/02/26","04-22968609","結晶","調味劑;;",,,"Citric Acid (Citric Acid, Anhydrous);;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003117","辛烯基丁二酸鈉澱粉","Starch Sodium Octenyl Succinate","2026/03/02","至茂企業股份有限公司","2021/03/02","07-3458419","粉劑","粘稠劑（糊料）;;",,,"Starch Sodium Octenyl Succinate;;",,"1.00000公斤;20.00000公斤;25.00000公斤;500.00000公斤;850.00000公斤"
"衛部添製字  003118","D-木糖醇","D-Xylitol","2026/03/18","順慶實業有限公司","2021/03/18","07-7871761","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"D-Xylitol;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;5.00000公斤"
"衛部添製字  003119","焦糖色素","Caramel Colors (Sulfite ammonia caramel) (DOUBLE STRENGTH)","2026/03/18","順慶實業有限公司","2021/03/18","07-7871761","液劑","著色劑;;",,,"Caramel Colors;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;30.00000公斤;275.00000公斤;25.00000公斤"
"衛部添製字  003120","脂肪酸甘油酯","Glycerin Fatty Acid Ester (MONO-ANDDIGLYCERIDES)","2026/03/18","順慶實業有限公司","2021/03/18","07-7871761","顆粒劑","乳化劑;;",,,"Glycerin Fatty Acid Ester;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;5.00000公斤;5.00000公斤"
"衛部添製字  003121","氧化羥丙基澱粉","Oxidized Hydroxypropyl Starch","2026/03/14","順慶實業有限公司","2021/03/14","07-7871761","粉劑","粘稠劑（糊料）;;",,,"Oxidized Hydroxypropyl Starch;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;3.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003122","氯化鎂","Magnesium Chloride","2026/03/09","順慶實業有限公司","2021/03/09","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Magnesium Chloride;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;50.00000公斤"
"衛部添製字  003123","氧化鈣","Calcium Oxide","2026/03/09","順慶實業有限公司","2021/03/09","07-7871761","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Calcium Oxide;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003124","脂肪酸蔗糖酯","Sucrose Fatty Acid Ester (S1170)","2026/03/09","順慶實業有限公司","2021/03/09","07-7871761","粉劑","乳化劑;;",,,"Sucrose Fatty Acid Ester;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003125","脂肪酸蔗糖酯","Sucrose Fatty Acid Ester 〔SUCROSE STEARIC ACID ESTER (RYOTO SUGAR ESTER S1570)〕","2026/03/09","順慶實業有限公司","2021/03/09","07-7871761","粉劑","乳化劑;;",,,"Sucrose Fatty Acid Ester;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;50.00000公斤"
"衛部添製字  003126","氧化澱粉","Oxidized Starch","2026/03/24","順慶實業有限公司","2021/03/24","07-7871761","粉劑","粘稠劑（糊料）;;",,,"Oxidized Starch;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;20.00000公斤"
"衛部添製字  003127","菸鹼醯胺","Nicotinamide","2026/03/17","鎧盈股份有限公司","2021/03/17","02-28262022","結晶性粉末","營養添加劑;;",,,"Nicotinamide;;",,"1.00000公斤"
"衛部添製字  003128","檸檬酸鋅","Zinc Citrate (ZINC CITRATE DIHYDRATE)","2026/03/19","欣宏生化科技股份有限公司","2021/03/19","04-8365121","粉劑","營養添加劑;;",,,"Zinc Citrate;;",,"1.00000公斤;5.00000公斤"
"衛部添製字  003129","硬脂酸鎂","Magnesium Stearate","2026/03/24","順慶實業有限公司","2021/03/24","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"Magnesium Stearate;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003130","麥芽糖醇","Maltitol","2026/03/14","順慶實業有限公司","2021/03/14","07-7871761","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑;;",,,"Maltitol;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;1000.00000公斤"
"衛部添製字  003131","麩醯胺酸","L-Glutamine","2026/04/21","新和食品股份有限公司","2021/04/21","02-25954321","結晶性粉末","營養添加劑;;",,,"L-Glutamine;;",,"0.50000公斤;0.50000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;500.00000公克;1.00000公斤;500.00000公克;1.00000公斤;200.00000公克;250.00000公克;300.00000公克;450.00000公克;500.00000公克;200.00000公克;250.00000公克;300.00000公克;450.00000公克;500.00000公克;1.00000公斤;1.20000公斤;4.50000公斤;5.00000公斤;9.00000公斤;10.00000公斤;13.50000公斤;15.00000公斤;18.00000公斤;20.00000公斤;22.50000公斤;25.00000公斤;1.00000公斤;4.50000公斤;5.00000公斤;9.00000公斤;10.00000公斤;13.50000公斤;15.00000公斤;18.00000公斤;20.00000公斤;22.50000公斤;25.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003132","乳酸鈣","Calcium Lactate","2026/04/23","振源食品科技股份有限公司","2021/04/23","02-23690989","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Calcium Lactate (Calcium Lactate, Pentahydrate);;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003140","焦糖色素","Caramel Colors (Ammonia caramel)","2026/07/19","光益食業有限公司","2021/07/19","04-25341300","液劑","著色劑;;",,,"Caramel Colors;;",,"1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003141","硝酸硫胺明 (維生素 B1)","Thiamine Mononitrate (Vitamin B1)","2026/07/01","鎧盈股份有限公司","2021/07/01","02-28262022","結晶性粉末","營養添加劑;;",,,"Thiamine Mononitrate;;",,"1.00000公斤"
"衛部添製字  003133","Beta-胡蘿蔔素 10% FT-Red/PF","Altratene 10% FT-Red/PF","2026/04/22","立弘生化科技股份有限公司","2021/04/22","02-27030209","液劑","營養添加劑;;著色劑;;",,,"Water;;Starch Sodium Octenyl Succinate;;β-Carotene;;Fructose;;Sunflower Oil;;dl-α-Tocopherol;;L-Ascorbic Acid;;Sodium L-Ascorbate;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;14.00000公斤;14.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤"
"衛部添製字  003134","Beta-胡蘿蔔素 10% WSC-Red","Altratene 10% WSC-Red","2026/04/22","立弘生化科技股份有限公司","2021/04/22","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"Maltodextrin;;Sucrose;;Starch Sodium Octenyl Succinate;;β-Carotene;;Water;;Medium Chain Triglycerides;;dl-α-Tocopherol;;Silicon Dioxide;;",,"1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003135","甘草萃","Licorice Extracts","2026/05/13","振源食品科技股份有限公司","2021/05/13","02-23690989","粉劑","甜味劑;;",,,"Licorice Extracts;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003136","甘草素","Glycyrrhizin","2026/05/13","振源食品科技股份有限公司","2021/05/13","02-23690989","粉劑","甜味劑;;",,,"Glycyrrhizin;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003137","甲基纖維素","Methyl Cellulose","2026/05/21","振芳股份有限公司","2021/05/21","02-23415137","粉劑","粘稠劑（糊料）;;",,,"Methyl Cellulose;;",,"1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  003138","聚乙二醇","Polyethylene Glycol (PEG6000)","2026/06/28","和司特股份有限公司","2021/06/28","04-23585228","結晶性粉末","其他;;",,,"Polyethylene Glycol;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003139","L-麩酸鈉","Monosodium L-Glutamate","2026/07/01","味丹企業股份有限公司","2021/07/01","04-26622111","結晶","調味劑;;",,,"Monosodium L-Glutamate;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  003142","本多酸鈣","Calcium Pantothenate (D-Calcium Pantothenate)","2026/07/09","鎧盈股份有限公司","2021/07/09","02-28262022","粉劑","營養添加劑;;",,,"Calcium Pantothenate;;",,"1.00000公斤"
"衛部添製字  003143","鹽酸硫胺明 (維生素 B1)","Thiamine Hydrochloride (Vitamin B1)","2026/07/09","鎧盈股份有限公司","2021/07/09","02-28262022","結晶性粉末","營養添加劑;;",,,"Thiamine Hydrochloride;;",,"1.00000公斤"
"衛部添製字  003144","抗壞血酸鈣 (維生素 C)","Calcium Ascorbate (Vitamin C)","2026/07/21","盛美股份有限公司","2021/07/21","06-2551356","粉劑","抗氧化劑;;營養添加劑;;",,,"Calcium Ascorbate (Vitamin C);;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003145","磷酸二澱粉","Distarch Phosphate","2026/07/20","順慶實業有限公司","2021/07/20","07-7871761","粉劑","粘稠劑（糊料）;;",,,"Distarch Phosphate;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003146","焦糖色素","Caramel Colors (Sulfite Ammonia Caramel)","2026/07/29","振誠貿易股份有限公司","2021/07/29","02-23690989","液劑","著色劑;;",,,"Caramel Colors;;",,"0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;1250.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
